Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Lick Ice Creams,78723,10/19/2020,100,"1905 ALDRICH ST
AUSTIN, TX 78723
(30.298282, -97.705359)",11703726,Routine Inspection
Randall's #2475- Bakery,78731,12/27/2021,98,"5311 BALCONES DR
AUSTIN, TX 78731
(30.335796, -97.758323)",10307237,Routine Inspection
"Grove Wine Bar and Kitchen, The",78701,05/12/2020,84,"800 W 6TH ST
AUSTIN, TX 78701
(30.2704, -97.750976)",11297105,Routine Inspection
Gourmands,78702,06/23/2020,89,"2316 WEBBERVILLE RD
AUSTIN, TX 78702
(30.262482, -97.715306)",10646361,Routine Inspection
Burger King #4228,78753,05/27/2021,94,"9523 N LAMAR BLVD
AUSTIN, TX 78753
(30.365064, -97.695889)",12186460,Routine Inspection
Whataburger,78741,04/29/2021,100,"1616 E OLTORF ST
AUSTIN, TX 78741
(30.233362, -97.73959)",12186624,Routine Inspection
Thistle Cafe,78701,12/30/2021,92,"221 W 6TH ST
AUSTIN, TX 78701
(30.268608, -97.744763)",10513979,Routine Inspection
Waterhole Saloon,78617,02/27/2020,87,"5244 E SH
AUSTIN, TX 78617",10095792,Routine Inspection
Lee's Meat Market,78731,01/27/2020,94,"1601 W 38TH ST
AUSTIN, TX 78731
(30.308741, -97.74985)",2801805,Routine Inspection
"Barn, The",78749,05/28/2021,94,"6218 BRODIE LN
SUNSET VALLEY, TX 78749
(30.220833, -97.826102)",12074268,Routine Inspection
Los Comales Taqueria,78702,08/17/2020,74,"2136 E 7TH ST
AUSTIN, TX 78702
(30.26165, -97.718305)",2800923,Routine Inspection
Whole Foods Market - Grocery,78749,12/03/2019,100,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.222644, -97.839738)",10764431,Routine Inspection
Subway Sandwiches & Salads,78702,08/01/2019,96,"1144 AIRPORT BLVD
AUSTIN, TX 78702
(30.272293, -97.697526)",2801542,Routine Inspection
Starbucks Coffee #14663,78744,09/24/2019,98,"7709 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.218347, -97.690019)",10195157,Routine Inspection
Susan's Deli,78753,01/27/2020,87,"12015 PARK THIRTY FIVE CIR
AUSTIN, TX 78753
(30.390074, -97.673607)",11804662,Routine Inspection
Jimmy John's #1254,78756,05/21/2019,92,"4001 N LAMAR BLVD
AUSTIN, TX 78756
(30.307015, -97.741902)",10237988,Routine Inspection
Domino's # 9365,78749,05/27/2021,96,"5701 W SLAUGHTER LN
AUSTIN, TX 78749
(30.201082, -97.868511)",12393500,Routine Inspection
Super China,78759,07/16/2019,90,"11657 RESEARCH BLVD
AUSTIN, TX 78759
(30.417595, -97.746156)",11649378,Routine Inspection
Costco #681 Retail,78759,09/15/2020,100,"10401 RESEARCH BLVD
AUSTIN, TX 78759
(30.396237, -97.745765)",2803772,Routine Inspection
Dan's Hamburgers,78702,05/11/2021,87,"844 AIRPORT BLVD
AUSTIN, TX 78702
(30.258448, -97.693374)",2800380,Routine Inspection
Bombay Bistro,78704,03/24/2021,77,"4200 S LAMAR BLVD
AUSTIN, TX 78704
(30.235252, -97.794796)",10486254,Routine Inspection
Pizza Hut,78702,07/22/2021,91,"1144 AIRPORT BLVD
AUSTIN, TX 78702
(30.272293, -97.697526)",2802789,Routine Inspection
River City Market,78704,07/01/2021,96,"2209 S CONGRESS AVE
AUSTIN, TX 78704
(30.241018, -97.752662)",12394007,Routine Inspection
Dobie Mall - Oma's Kitchen,78705,08/23/2019,75,"2025 GUADALUPE ST
AUSTIN, TX 78705
(30.283745, -97.741965)",10525098,Routine Inspection
Guckenheimer,78701,12/06/2021,100,"500 W 2ND ST
AUSTIN, TX 78701
(30.2656, -97.748742)",11754117,Routine Inspection
OOB - Habana Restaurant,78704,02/11/2020,85,"2728 S CONGRESS AVE
AUSTIN, TX 78704
(30.234757, -97.75697)",2801827,Routine Inspection
Barnes and Nobles Booksellers,78613,01/14/2021,87,"14010 N US 183 HWY
AUSTIN, TX 78613",2801399,Routine Inspection
River Ridge Elementary - Leander Elementary #23,78732,02/26/2020,97,"12900 TIERRA GRANDE TRL
AUSTIN, TX 78732
(30.345124, -97.916468)",10276728,Routine Inspection
In-N-Out Burger,78751,04/02/2019,96,"4515 AIRPORT BLVD
AUSTIN, TX 78751
(30.303824, -97.716008)",11050957,Routine Inspection
PF - Pflugerville Middle School,78660,09/23/2021,94,"1600 SETTLERS VALLEY DR
PFLUGERVILLE, TX 78660
(30.441928, -97.641538)",12392634,Routine Inspection
H & R Grocery,78745,07/19/2019,92,"6400 S CONGRESS AVE
AUSTIN, TX 78745
(30.196757, -97.777289)",2803740,Routine Inspection
Whataburger,78748,06/07/2021,99,"9300 S IH
AUSTIN, TX 78748",2802413,Routine Inspection
Hecho En Mexico,78749,10/11/2019,82,"6001 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.228673, -97.862739)",10217239,Routine Inspection
Hyatt Regency Austin- Marker 10,78704,11/02/2020,100,"208 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.258965, -97.747245)",10046991,Routine Inspection
Taco Bell #030116,78750,02/08/2021,96,"13770 N US 183 HWY
AUSTIN, TX 78750",11066599,Routine Inspection
NW Pony Colt League (AISD),78757,11/14/2019,96,"6601 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.345026, -97.745451)",2802538,Routine Inspection
Minimax Food Mart #4,78728,11/19/2019,97,"16009 FM 1325 RD
AUSTIN, TX 78728
(30.47171, -97.691297)",11815800,Routine Inspection
Corner Bakery Cafe,78759,05/26/2021,88,"9761 GREAT HILLS TRL
AUSTIN, TX 78759
(30.394186, -97.750819)",10747340,Routine Inspection
Chosun Galbi Korean BBQ & Grill,78752,07/06/2020,89,"713 E HUNTLAND DR
AUSTIN, TX 78752
(30.330091, -97.706274)",10664808,Routine Inspection
Baty Elementary,78741,04/05/2021,99,"2101 FARO DR
AUSTIN, TX 78741
(30.228163, -97.713478)",2801064,Routine Inspection
Louisiana Crab Shack,78757,10/09/2019,96,"2525 W ANDERSON LN
AUSTIN, TX 78757
(30.356679, -97.732239)",12145697,Routine Inspection
KPP International (aka Hot Bodies),78744,02/04/2019,99,"4134 FELTER LN
AUSTIN, TX 78744
(30.196565, -97.7057)",2803270,Routine Inspection
PF - Lone Star Kolaches,78660,11/09/2021,79,"2606 W PECAN ST
PFLUGERVILLE, TX 78660
(30.448293, -97.654939)",12392527,Routine Inspection
LW - Whataburger #796,78734,11/04/2020,99,"2011 S FM 620 RD
LAKEWAY, TX 78734",2801952,Routine Inspection
The Front Page,78721,04/23/2021,92,"1023 SPRINGDALE RD
AUSTIN, TX 78721
(30.267919, -97.694036)",12132567,Routine Inspection
Colonial Gardens of Austin A-1,78727,11/17/2021,97,"3700 ADELPHI LN
AUSTIN, TX 78727
(30.421112, -97.714846)",11713509,Routine Inspection
International House of Pancakes,78744,02/25/2021,98,"8801 S IH
AUSTIN, TX 78744",2802338,Routine Inspection
"Spec's Wines, Spirits & Finer Foods",78735,03/26/2020,97,"4970 W US 290 HWY
AUSTIN, TX 78735",10007038,Routine Inspection
Child Craft School,78705,11/22/2021,97,"800 W 30TH ST
AUSTIN, TX 78705
(30.298251, -97.745292)",11468467,Routine Inspection
American Food & Vending @ Everi RFX,78728,11/29/2021,96,"4616 W HOWARD LN
AUSTIN, TX 78728
(30.444365, -97.709865)",12392310,Routine Inspection
PF - Nearby Coffee Co.,78660,05/21/2021,100,"16921 JOE BARBEE DR
UNIT B PFLUGERVILLE, TX 78660
(30.470193, -97.664836)",12393350,Routine Inspection
Modern Market,78759,05/11/2021,85,"9828 GREAT HILLS TRL
AUSTIN, TX 78759
(30.39424, -97.748574)",11531963,Routine Inspection
Scoreboard Sports Bar & Grill,78750,03/10/2020,81,"6507 JESTER BLVD
AUSTIN, TX 78750
(30.37021, -97.800817)",11394731,Routine Inspection
7-Eleven Convenience Store #36609,78759,06/16/2020,90,"10800 RESEARCH BLVD
AUSTIN, TX 78759
(30.400323, -97.746289)",11017107,Routine Inspection
Monte Siesta Nursing& Rehab,78735,04/02/2021,90,"4501 DUDMAR DR
AUSTIN, TX 78735
(30.235038, -97.805097)",2801099,Routine Inspection
BC - Sonesta Bee Cave,78738,08/05/2019,94,"12525 BEE CAVE PKWY
BEE CAVE, TX 78738
(30.309698, -97.934279)",11330041,Routine Inspection
Primos Food Mart,78723,02/26/2020,85,"5327 CAMERON RD
AUSTIN, TX 78723
(30.311242, -97.70731)",12108577,Routine Inspection
Dawson Elementary,78704,05/29/2020,99,"3001 S 1ST ST
AUSTIN, TX 78704
(30.235228, -97.763974)",2800137,Routine Inspection
Taco Cabana,78660,08/20/2019,92,"15002 FM 1825 RD
AUSTIN, TX 78660
(30.442404, -97.665649)",2801246,Routine Inspection
Randall's # 2987 Produce,78732,01/07/2021,100,"5145 N FM 620 RD
AUSTIN, TX 78732
(30.390321, -97.884565)",10720292,Routine Inspection
PF - Hiwot Injera,78660,03/10/2021,97,"616 FM
PFLUGERVILLE, TX 78660",12392331,Routine Inspection
"Bee Grocery, The",78702,12/19/2019,86,"1001 E 6TH ST
AUSTIN, TX 78702
(30.26505, -97.732382)",11251134,Routine Inspection
MN - Domino's Pizza,78653,03/19/2019,99,"11211 E US 290 HWY
MANOR, TX 78653
(30.348775, -97.555684)",11018822,Routine Inspection
Smoothie Yogurt Paradise,78613,08/29/2019,81,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.47186, -97.802769)",2800800,Routine Inspection
Woko Loco,78723,05/05/2020,96,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.306488, -97.708842)",12093510,Routine Inspection
Masala Wok,78759,11/19/2019,85,"10515 N MOPAC EXPY
AUSTIN, TX 78759
(30.392572, -97.732892)",10672549,Routine Inspection
Whataburger #132,78753,12/23/2020,96,"9516 N LAMAR BLVD
AUSTIN, TX 78753
(30.365158, -97.695835)",2800007,Routine Inspection
Intergalactic Productions,78759,03/09/2020,96,"8127 MESA DR
AUSTIN, TX 78759
(30.373375, -97.756117)",12160314,Routine Inspection
Tortilleria El Taquito,78753,11/04/2021,76,"8610 N LAMAR BLVD
AUSTIN, TX 78753
(30.354942, -97.703436)",10968460,Routine Inspection
HEB Food Store #465 - Retail,78702,06/03/2020,95,"2701 E 7TH ST
AUSTIN, TX 78702
(30.26053, -97.711148)",2803572,Routine Inspection
Prime Now LLC,78758,03/22/2019,99,"2209 RUTLAND DR
AUSTIN, TX 78758
(30.381408, -97.717564)",11723659,Routine Inspection
Sustainable Food Center,78702,01/30/2019,100,"2921 E 17TH ST
AUSTIN, TX 78702
(30.27935, -97.710333)",10979756,Routine Inspection
Zoe's Kitchen,78759,09/27/2021,92,"10000 RESEARCH BLVD
AUSTIN, TX 78759
(30.392352, -97.746845)",10323727,Routine Inspection
Smokey J's Barbeque #1,78732,12/15/2021,94,"7008 N FM 620 RD
AUSTIN, TX 78732",2800704,Routine Inspection
Les Bobos,78705,04/16/2021,99,"2707 RIO GRANDE ST
AUSTIN, TX 78705
(30.29242, -97.744241)",12186338,Routine Inspection
Westlake PAC Concessions,78746,05/28/2019,100,"4100 WESTBANK DR
WEST LAKE HILLS, TX 78746
(30.27539, -97.814787)",10334733,Routine Inspection
Stop N Tote,78702,12/03/2019,93,"2715 E 5TH ST
AUSTIN, TX 78702
(30.256749, -97.71153)",11921170,Routine Inspection
Taqueria Krystal,78660,05/22/2019,92,"14815 DESSAU RD
PFLUGERVILLE, TX 78660
(30.420611, -97.628848)",11833845,Routine Inspection
Randall's #2475-Retail,78731,10/05/2020,100,"5401 BALCONES DR
AUSTIN, TX 78731
(30.335785, -97.758337)",2803531,Routine Inspection
PF - Walgreens # 03159,78660,04/08/2021,100,"2021 W PECAN ST
PFLUGERVILLE, TX 78660
(30.446002, -97.647792)",12392478,Routine Inspection
Tiny Boxwoods,78703,07/14/2020,91,"1503 W 35TH ST
AUSTIN, TX 78703
(30.306236, -97.749576)",11705185,Routine Inspection
Bennu Coffee Highland,78752,08/18/2021,90,"109 JACOB FONTAINE LN
AUSTIN, TX 78752
(30.325259, -97.714821)",12393179,Routine Inspection
New World Produce,78734,02/24/2020,100,"4543 DOSS RD
AUSTIN, TX 78734
(30.409431, -97.930116)",2803361,Routine Inspection
Rodriguez Elementary School,78744,11/04/2019,100,"4400 FRANKLIN PARK DR
AUSTIN, TX 78744
(30.199287, -97.744858)",2801092,Routine Inspection
Snow Pea Asian Bistro,78717,05/02/2019,82,"14028 N US 183 HWY
AUSTIN, TX 78717",11016282,Routine Inspection
Clint Small Middle School,78749,04/13/2021,99,"4801 MONTEREY OAKS BLVD
AUSTIN, TX 78749
(30.233175, -97.84069)",2801076,Routine Inspection
"Revelry on the Boulevard, LLC",78752,01/16/2020,96,"6215 N LAMAR BLVD
AUSTIN, TX 78752
(30.330844, -97.723249)",11936758,Routine Inspection
Plucker's Wing Factory,78705,05/29/2019,95,"2222 RIO GRANDE ST
AUSTIN, TX 78705
(30.286839, -97.744777)",2800781,Routine Inspection
KIPP Met 10,78744,04/28/2021,94,"6800 METROPOLIS DR
AUSTIN, TX 78744
(30.204463, -97.70571)",12393421,Routine Inspection
Flea Market #C,78754,09/06/2020,92,"9500 E US 290 HWY
AUSTIN, TX 78754
(30.330694, -97.630914)",2800520,Routine Inspection
Bao'd Up,78741,10/27/2021,92,"1920 E RIVERSIDE DR
AUSTIN, TX 78741
(30.242031, -97.728362)",12394354,Routine Inspection
Fluff Meringues & More,78756,05/13/2020,100,"4800 BURNET RD
AUSTIN, TX 78756
(30.318803, -97.739443)",12003413,Routine Inspection
SV - Luby's,78749,06/27/2019,91,"5200 BRODIE LN
SUNSET VALLEY, TX 78749",2800513,Routine Inspection
Seek & Say Enrichment Day Care,78725,11/23/2021,88,"6123 FM 969 RD
AUSTIN, TX 78725
(30.285259, -97.663127)",2800906,Routine Inspection
Omni Barton Creek Resort & Spa-Halfway House,78735,06/18/2020,94,"8511 CARRANZO DR
AUSTIN, TX 78735
(30.271779, -97.877078)",11084444,Routine Inspection
Cenote,78702,06/25/2021,82,"1010 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.260384, -97.734006)",10651726,Routine Inspection
Wooten Elementary,78757,05/04/2021,94,"1406 DALE DR
AUSTIN, TX 78757
(30.353261, -97.719876)",2800009,Routine Inspection
Aloft Element Banquets,78701,11/04/2020,100,"109 E 7TH ST
AUSTIN, TX 78701
(30.268875, -97.742021)",11733659,Routine Inspection
MN - Bright Beginnings Learning Center,78653,10/25/2021,99,"101 E BOYCE ST
MANOR, TX 78653
(30.341918, -97.557251)",11821490,Routine Inspection
Bambu Desserts and Drinks,78753,05/22/2020,93,"10901 N LAMAR BLVD
AUSTIN, TX 78753
(30.378477, -97.688329)",11159907,Routine Inspection
Xian Sushi and Noodle #2,78729,07/29/2021,81,"13201 N FM 620 RD
AUSTIN, TX 78729",10174832,Follow-Up Inspection
CVS Pharmacy # 59,78749,06/17/2021,91,"4001 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.219143, -97.836018)",10111260,Routine Inspection
Cherrywood,78722,08/24/2020,91,"1400 E 38TH HALF ST
AUSTIN, TX 78722
(30.307137, -97.747776)",2802807,Routine Inspection
"Bearded Baking Company, The",78742,04/23/2021,100,"502 THOMPSON LN
AUSTIN, TX 78742
(30.238711, -97.683849)",12186159,Routine Inspection
"Green Mesquite, The",78704,02/24/2021,83,"1400 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.261276, -97.7593)",2800018,Routine Inspection
Rancho Grande Supermercado,78744,03/10/2021,70,"4604 TERI RD
AUSTIN, TX 78744
(30.196564, -97.743379)",12393111,Routine Inspection
Walgreens #6734,78727,01/13/2021,92,"3921 W PARMER LN
AUSTIN, TX 78727
(30.424913, -97.714194)",2804122,Routine Inspection
"Omelettry, The",78751,04/11/2019,87,"4631 AIRPORT BLVD
AUSTIN, TX 78751
(30.306136, -97.715838)",11309001,Routine Inspection
Chi'Lantro,78704,10/28/2021,100,"1509 S LAMAR BLVD
AUSTIN, TX 78704
(30.251939, -97.764498)",11248790,Routine Inspection
OOB - Cianfrani Coffee Co.,78759,08/27/2019,95,"8303 N MOPAC EXPY
AUSTIN, TX 78759
(30.369084, -97.741603)",11975006,Routine Inspection
Waterloo Ice House,78757,07/12/2021,100,"8600 BURNET RD
AUSTIN, TX 78757
(30.367886, -97.727765)",2801175,Routine Inspection
Beer Geek,78652,08/11/2020,93,"2051 W FM 1626 RD
AUSTIN, TX 78652
(30.14152, -97.845712)",12392375,Routine Inspection
Domino's Pizza,78729,07/07/2020,99,"13201 POND SPRINGS RD
AUSTIN, TX 78729
(30.445383, -97.77849)",10191355,Routine Inspection
WL - Tokyo Gardens Sushi Bar,78746,04/26/2019,97,"701 S CAPITAL OF TEXAS HWY
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10135293,Routine Inspection
PF - Crystal Food Mart & Deli,78660,12/20/2021,93,"18801 WEISS LN
PFLUGERVILLE, TX 78660
(30.44984, -97.559832)",12392318,Routine Inspection
"Sound Gallery, The",78745,07/24/2019,98,"4930 S CONGRESS AVE
AUSTIN, TX 78745
(30.212672, -97.770455)",11196553,Routine Inspection
PF - P. Terry's Burger Stand # 17,78660,06/10/2021,95,"18801 FM
PFLUGERVILLE, TX 78660",12393594,Routine Inspection
Local Pie,78754,05/17/2019,92,"8201 CROSS PARK DR
AUSTIN, TX 78754
(30.330742, -97.66758)",12035566,Routine Inspection
Verdes Grill,78738,05/15/2020,85,"16018 HAMILTON POOL RD
AUSTIN, TX 78738
(30.298059, -98.006845)",12123841,Routine Inspection
CVS Pharmacy #7606,78705,03/17/2021,98,"2222 GUADALUPE ST
AUSTIN, TX 78705
(30.285565, -97.741801)",2804033,Routine Inspection
Austin Achieve Public Schools,78723,11/06/2020,97,"5908 MANOR RD
AUSTIN, TX 78723
(30.307146, -97.679646)",11356592,Routine Inspection
Cheer Up Charlies,78701,03/10/2020,100,"900 RED RIVER ST
AUSTIN, TX 78701
(30.269599, -97.736032)",11076913,Follow-Up Inspection
Detour Domain,78758,04/14/2021,94,"11101 BURNET RD
AUSTIN, TX 78758
(30.396129, -97.720128)",10388239,Routine Inspection
GROWLER USA,78705,08/19/2021,90,"609 W 29TH ST
AUSTIN, TX 78705
(30.295453, -97.742931)",11481835,Routine Inspection
Stubb's,78701,04/26/2021,80,"801 RED RIVER ST
AUSTIN, TX 78701
(30.268687, -97.736382)",2800835,Routine Inspection
Austin Catering,78757,09/20/2021,88,"2700 W ANDERSON LN
AUSTIN, TX 78757
(30.358229, -97.735348)",2802325,Routine Inspection
Clever Baking,78702,07/20/2021,94,"1115 E 11TH ST
AUSTIN, TX 78702
(30.268971, -97.728662)",12393074,Routine Inspection
Taco Bell #030098,78717,08/08/2019,92,"9900 W PARMER LN
AUSTIN, TX 78717
(30.486294, -97.770553)",11066586,Routine Inspection
Texas French Bread,78705,09/24/2021,92,"2900 RIO GRANDE ST
AUSTIN, TX 78705
(30.296142, -97.743863)",2800207,Routine Inspection
Red Lobster # 0314,78704,10/19/2020,91,"3815 S LAMAR BLVD
AUSTIN, TX 78704
(30.238122, -97.790027)",11183314,Routine Inspection
II Brutto,78702,10/22/2020,88,"1601 E 6TH ST
AUSTIN, TX 78702
(30.262861, -97.726003)",11849004,Routine Inspection
Sonic Drive-In #1586,78758,03/17/2021,85,"12453 LAMPLIGHT VILLAGE AVE
AUSTIN, TX 78758
(30.415033, -97.69643)",12393990,Routine Inspection
PF - La Patisserie by Oven - Fresh Delights,78660,07/31/2020,100,"2604 W PECAN ST
STE C PFLUGERVILLE, TX 78660
(30.448649, -97.655675)",12392519,Routine Inspection
Forest Bluff Grocery,78724,02/22/2021,84,"14300 FM 969 RD
AUSTIN, TX 78724
(30.247473, -97.583335)",11508620,Routine Inspection
Eberly,78704,02/19/2020,91,"615 S LAMAR BLVD
AUSTIN, TX 78704
(30.25873, -97.759142)",11594069,Routine Inspection
Family Dollar #28201,78722,03/10/2020,91,"3851 AIRPORT BLVD
AUSTIN, TX 78722
(30.289581, -97.707178)",10393618,Routine Inspection
Gullett Elementary,78757,10/05/2021,90,"6310 TREADWELL BLVD
AUSTIN, TX 78757
(30.34324, -97.748136)",2800350,Routine Inspection
Salata,78759,01/05/2022,93,"10515 N MOPAC EXPY
AUSTIN, TX 78759
(30.392572, -97.732892)",11105285,Routine Inspection
Epicerie,78756,08/13/2020,97,"2307 HANCOCK DR
AUSTIN, TX 78756
(30.324746, -97.743484)",10863734,Routine Inspection
P. Terry's Burger Stand,78704,06/11/2019,95,"204 W BEN WHITE BLVD
AUSTIN, TX 78704
(30.223995, -97.76446)",10586161,Routine Inspection
BC - Chick-Fil-A of Lake Travis,78738,06/07/2019,94,"3600 S FM 620 RD
BEE CAVE, TX 78738",10260547,Routine Inspection
Arturo's Bakery and Cafe,78701,09/16/2020,85,"314 W 17TH ST
AUSTIN, TX 78701
(30.279669, -97.742129)",2801539,Routine Inspection
CiCi's Pizza,78745,02/24/2020,74,"1901 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.202323, -97.804648)",10507223,Routine Inspection
COTA - Velocity,78617,04/13/2019,97,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11228861,Routine Inspection
OOB - Lubys Etc at Lavaca,78701,09/23/2019,88,"700 LAVACA ST
AUSTIN, TX 78701
(30.270199, -97.744671)",10848345,Routine Inspection
7-Eleven Convenience Store #36563B,78759,09/29/2021,81,"11643 RESEARCH BLVD
AUSTIN, TX 78759
(30.416583, -97.745965)",12185864,Routine Inspection
SV - Wendy's W108,78749,07/23/2019,99,"4961 W US 290 HWY
SUNSET VALLEY, TX 78749",11119775,Routine Inspection
North Austin Medical Ctr.,78758,10/24/2019,92,"12221 N MOPAC EXPY
AUSTIN, TX 78758
(30.412252, -97.708006)",2800737,Routine Inspection
KLA Schools of Sweetwater,78738,03/03/2021,100,"18101 W SH
AUSTIN, TX 78738",12393064,Routine Inspection
Julie's Handmade Noodles,78758,11/07/2019,78,"8557 RESEARCH BLVD
AUSTIN, TX 78758
(30.361033, -97.716672)",11534774,Routine Inspection
Taco Deli,78746,09/24/2020,91,"1500 SPYGLASS DR
AUSTIN, TX 78746
(30.258663, -97.786729)",2801355,Routine Inspection
South Austin Assisted Living II,78749,07/13/2021,99,"4816 CHESNEY RIDGE DR
AUSTIN, TX 78749
(30.197614, -97.863745)",10964447,Routine Inspection
7-Eleven Convenience Store #36266A,78754,03/06/2019,84,"8600 E US 290 HWY
AUSTIN, TX 78754
(30.23447, -97.911646)",11402314,Routine Inspection
Mc Alliance,78717,12/02/2019,92,"9741 NORTH LAKE CREEK PKWY
AUSTIN, TX 78717
(30.477039, -97.794266)",11925197,Routine Inspection
Chili's #18,78757,11/16/2021,92,"9070 RESEARCH BLVD
AUSTIN, TX 78757
(30.373498, -97.727719)",2800608,Routine Inspection
Dairy Queen,78753,10/02/2019,93,"8728 N LAMAR BLVD
AUSTIN, TX 78753
(30.356058, -97.701905)",2800159,Routine Inspection
Doubletree Club Hotel,78702,12/02/2019,93,"1617 N IH
AUSTIN, TX 78702",10004486,Routine Inspection
COTA - Kitchen Main Grand Stand,78617,11/01/2019,98,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11229107,Routine Inspection
China Express,78741,03/07/2019,89,"1913 E RIVERSIDE DR
AUSTIN, TX 78741
(30.24189, -97.728436)",11801021,Routine Inspection
Slab,78757,11/25/2019,89,"9012 RESEARCH BLVD
AUSTIN, TX 78757
(30.372146, -97.72483)",11182639,Routine Inspection
Subway #30984,78701,07/01/2019,93,"1210 SAN ANTONIO ST
AUSTIN, TX 78701
(30.276131, -97.744829)",10358571,Routine Inspection
Kanji J Cuisine Inc.,78759,01/27/2021,90,"12636 RESEARCH BLVD
AUSTIN, TX 78759
(30.431004, -97.763845)",11487480,Routine Inspection
Marbridge Foundation-Villa,78652,01/04/2022,97,"2504 BLISS SPILLAR RD
AUSTIN, TX 78652
(30.137607, -97.857506)",2800700,Routine Inspection
